,Latitude,Longitude,Month,Hour,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling,Fall,Spring,Summer,Winter
106,47.11,-122.57,1,13,86.70044,11.06651,1.344182472543876,11,10.0,1006.6,35,0,0,0,1
107,47.11,-122.57,1,13,81.71387,12.24228,1.5280304405600886,11,10.0,1006.2,43,0,0,0,1
108,47.11,-122.57,1,14,77.80151,12.30019,1.5506746821530561,9,10.0,1006.2,45,0,0,0,1
109,47.11,-122.57,1,14,72.83936,11.67328,1.009544252750107,9,10.0,1006.2,23,0,0,0,1
110,47.11,-122.57,1,15,68.81714,12.29012,0.6418170433884446,13,10.0,1005.9,60,0,0,0,1
111,47.11,-122.57,1,13,87.98828,8.99948,0.4369637751675354,15,10.0,999.8,722,0,0,0,1
112,47.11,-122.57,1,14,84.76562,11.67328,1.512647237237113,14,10.0,999.8,35,0,0,0,1
113,47.11,-122.57,1,15,57.25098,13.59932,1.3103227303558524,15,10.0,999.8,722,0,0,0,1
114,47.11,-122.57,1,12,84.79004,11.60027,0.9013273365842409,9,10.0,1013.9,722,0,0,0,1
115,47.11,-122.57,1,13,81.32935,10.37415,0.5240359814870412,11,10.0,1014.3,722,0,0,0,1
116,47.11,-122.57,1,13,80.85938,10.9935,1.3162741764130808,11,10.0,1014.3,95,0,0,0,1
117,47.11,-122.57,1,13,77.47192,11.68083,0.5446529726887159,8,10.0,1014.3,42,0,0,0,1
118,47.11,-122.57,1,13,76.57471,11.67328,1.3162741764130808,11,10.0,1014.6,722,0,0,0,1
119,47.11,-122.57,1,14,78.07617,11.60027,0.5240359814870412,13,10.0,1014.6,722,0,0,0,1
120,47.11,-122.57,1,15,92.14478,10.32631,0.4370219130123818,6,10.0,1014.6,43,0,0,0,1
121,47.11,-122.57,1,14,48.24829,21.28082,2.0777839185814657,13,10.0,996.5,722,0,0,0,1
122,47.11,-122.57,1,15,36.2915,23.21693,1.7648215461469503,11,10.0,996.5,722,0,0,0,1
123,47.11,-122.57,1,12,92.56592,7.81616,0.41403494856900325,10,4.0,1009.6,12,0,0,0,1
124,47.11,-122.57,1,13,93.09692,8.98438,0.9294991158402256,11,5.0,1009.2,11,0,0,0,1
